n/a;code;condition;event;#eventalt;ini;type;prio;group;reuse;speaker;voice;#;English(en);Bulgarian(bg)
;emp_M_0001;;lvl_core_emp;;pc;vn;1;;FALSE;Fates;empA_M_0001_A;;Now isn't this curious? You are so intertwined with Time itself that it's really hard to get a read on your fate hero.;
;~;;;;;;;;;Fates;empA_M_0001_B;;Will you fail? Succeed? Or maybe it will be one of the others?;
;~;;;;;;;;;Fates;empA_M_0001_C;;Oh, sorry! They haven't arrived for you yet. But it would be a shame to see you fail. Perhaps we could.. fudge the numbers a little?;
;emp_M_0002;;lvl_core_emp;;pc;vn;2;;FALSE;Fates;empA_M_0002_A;;We didn't really introduce ourselves last time. We're the Fates.;
;~;;;;;;;;;Fates;empA_M_0002_B;;Clo, the sleepy one, spins the strings of life. Lachi measures them and all that boring stuff. While I, Aisa, snip-snip with the scissors when the time comes!;
;~;;;;;;;;;Aisa;empA_M_0002_C;;I have the most fun job! It does get tiring to see them all go though.. always, forever and ever... But maybe you'll put an end to that, who knows?;
;emp_S_0001;;lvl_emp;;pc;vn;1000;;TRUE;Aisa;empA_S_0001;;Help you? Well, we're not exactly helping you. It's your own fate. You're the one sewing it, we're just.. lending an eye, if you will.;
;emp_S_0007;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0007;;So like, maybe you should try a different approach this time? But hey, it's your own fate…;
;emp_S_0008;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empA_S_0008;;Uhm, it's not like you'll be running out of time soon so maybe you could.. uhm.. experiment with this whole fate loop ordeal a little?;
;emp_S_0009;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0009;;You really think you can kill Death though? We don't have a string for him.;
;emp_S_0013;;lvl_emp;;pc;vn;1003;;FALSE;Lachi;empL_S_0013_A;;H-hey, if this is gonna be another Sisyphus kind of ordeal maybe we could.. uhm, you know… spend some of that eternity t-together...;
;~;;;;;;;;;Aisa;empA_S_0013_B;;Ugh, never mind my sister, she was just asking.. uhh, something else entirely different than what you may think you may have heard! Some sort of mix up with the timelines.;
;~;;;;;;;;;Aisa;empA_S_0013_C;;Let's get back to this timeline shall we.;
;emp_S_0014;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0014;;An eternity like Sisyphus? No, his string we keep in the endless chest. Yours is just constantly shifting but.. well at least for now looks finite to me.;
;emp_S_0016;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0016;;You choose, I just measure.;
;emp_S_0017;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0017;;L-let me give you a reading of w-what your fate holds..;
;emp_S_0019;;lvl_emp;;pc;vn;1002;;TRUE;Aisa;empA_S_0019_A;;Stop Lachi-ng onto their fate sis! And stop giving advice, it's their own damn string!;
;~;;;;;;;;;Lachi;empL_S_0019_B;;Says you who never shuts up with suggestions!;
;emp_S_0020;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0020;;Uhm, maybe you should go left.;
;emp_S_0021;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0021;;Oh h-hi! Uhh, uhh, you should go right!;
;emp_S_0023;;lvl_emp;;pc;vn;1002;;FALSE;Aisa;empA_S_0023_A;;(Ugh, Lachi, you're only attracted to them because you can't get a read on their future!);
;~;;;;;;;;;Lachi;empL_S_0023_B;;So what?! It's.. Ohh, hey. Hi. Uhm.;
;~;;;;;;;;;Aisa;empA_S_0023_C;;Make your pick hero, don't mind my sister.;
;emp_S_0026;;lvl_emp;;pc;vn;1001;;TRUE;Clo;empC_S_0026;;(Just.. let me sleep okay..); 
