n/a;code;condition;event;ini;type;prio;group;reuse;speaker;voice;#;English(en)                        | (2nd row after this ingame);Bulgarian(bg)
;pcsho_M_0001;;talk_sho;pc;conv;1;pcsho_conv;FALSE;sho;;;Got all these gods helping you down there huh?;
;~;;;;;;;;sho;;;You know, I'm something of a god myself :);
;~;;;;;;;;sho;;;Why don't you bring me some of Death's stolen goods and I'll lend a hand too. Or a sword.;
;pcsho_S_0001;pctra_M_0001;talk_sho;pc;conv;1;pcsho_conv;FALSE;sho;;;Getting the components your blue friend requires isn't cheap you know.;
;~;;;;;;;;sho;;;But it's the journey that matters, not the destination, right?;
;pctra_M_0001;;talk_tra;pc;conv;1;pctra_conv;FALSE;tra;;;I am so glad to have reeaached my destination on tiime.;
;~;;;;;;;;tra;;;How lucky I am that I may jooin you in your jouurney.;
;~;;;;;;;;tra;;;Foorgive my intrusion, but I've come to offer you my assistance.;
;~;;;;;;;;tra;;;You might find these aartifacts I carry of use in your traavels to Death's realm.;
;~;;;;;;;;tra;;;Unlocking their full power will be challengiing, as it will require expensive compoonents.;
;~;;;;;;;;tra;;;However, I am ceertain this shoopkeeper here will fiind them for us at a moost reaasonable price.;
;knisor_M_0001;;talk_kni,talk_sor;kni,sor;conv;1;knisor_conv;FALSE;sor;;;I did not expect a living guardian at Death's gates :p;
;~;;;;;;;;kni;;;I'm no guardian. Just went out for some fresh air. I was told to expect… others.;
;~;;;;;;;;kni;;;I suspect you are the first to come.;
;~;;;;;;;;sor;;;First to come? What are you talking about?;
;~;;;;;;;;kni;;;It might take me a while to explain everything…;
;~;;;;;;;;@fade;;;;
;~;;;;;;;;sor;;;So… you want me to go down there with the Hourglass?;
;~;;;;;;;;kni;;;Only one can wield it. Good luck.;
;knisor_M_0002;;talk_kni,talk_sor;kni,sor;conv;2;knisor_conv;FALSE;sor;;;The Hourglass worked! I'm… back.;
;~;;;;;;;;sor;;;But I still don't understand <b>why</b> Time gave us their Hourglass.;
;~;;;;;;;;kni;;;They see the righteousness of our cause.;
;~;;;;;;;;sor;;;Y-yes... righteousness…;
;~;;;;;;;;kni;;;It is unknown of gods to sacrifice, yes.;
;~;;;;;;;;kni;;;And so much at that too.;
;~;;;;;;;;kni;;;But Time's focus must be on more important matters than themselves.;
;knisor_M_0003;!kill_Death;talk_kni,talk_sor;kni,sor;conv;3;knisor_conv;FALSE;sor;;;Hey uhh… I guess I never introduced myself. I'm Merris ^^;
;~;;;;;;;;kni;;;Avoron. My pleasure.;
;~;;;;;;;;kni;;;It's good to have someone else around here.;
;~;;;;;;;;sor;;;Really?? You look like the lone type!;
;~;;;;;;;;sor;;;Uhm, I mean self-reliant!! <.<;
;knisor_M_0004;!kill_Death;talk_kni,talk_sor;kni,sor;conv;4;knisor_conv;FALSE;sor;;;Hey uhh... I made you some green tea.;
;~;;;;;;;;kni;;;Thanks. It gets cold here.;
;~;;;;;;;;sor;;;Not if you are a fire girl ^^;
;knisor_M_0005;!kill_Death and seen_VampireLord;talk_kni,talk_sor;kni,sor;conv;5;knisor_conv;FALSE;sor;;;I... never asked. What's your reason for going down there?;
;~;;;;;;;;kni;;;An obligation.;
;~;;;;;;;;sor;;;To?? Your wife :? Your third cousin? Your pet dog!;
