n/a;code;condition;event;ini;type;prio;group;reuse;speaker;voice;#;English(en)                        | (2nd row after this ingame);Bulgarian(bg)
;sho_S_0001;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Got goods for sale!;
;sho_S_0002;;talk_sho_side;pc;line;1001;sho_conv;TRUE;sho;;;Didn't go well?;
;sho_S_0003;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Need anything?;
;sho_S_0004;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;You'll feel better after some shopping.;
;sho_S_0005;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Buy! Sell! Buy! Sell!;
;sho_S_0006;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Need stuff?;
;sho_S_0007;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Loot some cool gear?;
;sho_S_0008;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Got anything to sell me?;
;ropes_S_kni_0001;;talk_ropes;kni;line;1001;ropes;FALSE;kni;;;It was a long climb. Glad I brought enough rope.;
;ropes_S_sor_0001;;talk_ropes;sor;line;1001;ropes;FALSE;sor;;;I hope climbing down is gonna be easier >.>;
;ropes_S_ass_0001;;talk_ropes;ass;line;1001;ropes;FALSE;ass;;;nonono, not looking down again;
;ropes_S_bar_0001;;talk_ropes;bar;line;1001;ropes;FALSE;bar;;;Ah, climbing here was good physical exercise!;
;ropes_S_war_0001;;talk_ropes;war;line;1001;ropes;FALSE;war;;;One day I'll take the route back. When I've finished my journey.;
;ropes_S_dru_0001;;talk_ropes;dru;line;1001;ropes;FALSE;dru;;;One day I'll climb down.;
;gates_S_kni_0001;;gates;kni;conv;1001;gates;FALSE;kni;;;Back to where I came from.;
;~;;;;;;;;kni;;;Was quite a challenge getting here.;
;gates_S_kni_0002;;gates;kni;line;1002;gates;FALSE;kni;;;Back outside for some fresh air.;
;gates_S_sor_0001;;gates;sor;line;1001;gates;FALSE;sor;;;The entrance where I came from.;
;gates_S_sor_0002;;gates;sor;conv;1002;gates;FALSE;sor;;;Ah, finally some fresh air ^^!;
;~;;;;;;;;sor;;;…too cold though, I should go back inside >.<;
;gates_S_ass_0001;;gates;ass;conv;1001;gates;FALSE;ass;;;the entrance where I came from.;
;~;;;;;;;;ass;;;don’t rly wanna be here again, it’s too c-cold;
;gates_S_ass_0002;;gates;ass;line;1002;gates;FALSE;ass;;;it’s freezing up here;
;gates_S_bar_0001;;gates;bar;conv;1001;gates;FALSE;bar;;;The entrance to Death’s realm!;
;~;;;;;;;;bar;;;Was a heroic climb! But… lonely.;
;~;;;;;;;;bar;;;Climb down will be fun with friends.;
;~;;;;;;;;bar;;;Best go back to finish the job.;
;gates_S_bar_0002;;gates;bar;line;1002;gates;FALSE;bar;;;Fresh air again!;
;gates_S_war_0001;;gates;war;conv;1001;gates;FALSE;war;;;Back to where I came from.;
;~;;;;;;;;war;;;And where I met Kront.;
;gates_S_war_0002;;gates;war;conv;1002;gates;FALSE;war;;;Ah, snow again. Feels like I'm back home.;
;~;;;;;;;;war;;;If only.;
;scenery1_S_kni_0001;;talk_scenery1;kni;line;1001;scenery1;FALSE;kni;;;The scenery up here is… morbidly beautiful.;
;scenery1_S_sor_0001;;talk_scenery1;sor;line;1001;scenery1;FALSE;sor;;;Climb would have been easier if all the bridges were still standing…;
;scenery1_S_ass_0001;;talk_scenery1;ass;line;1001;scenery1;FALSE;ass;;;c-cool s-scenery, t-too cool, must go b to fire;
;scenery1_S_bar_0001;;talk_scenery1;bar;line;1001;scenery1;FALSE;bar;;;How small this world is from above!;
;scenery1_S_war_0001;;talk_scenery1;war;line;1001;scenery1;FALSE;war;;;Mountains are a welcome sight.;
;scenery2_S_kni_0001;;talk_scenery2;kni;line;1001;scenery2;FALSE;kni;;;The irony… the entrance to the Underworld on the highest peak.;
;scenery2_S_sor_0001;;talk_scenery2;sor;line;1001;scenery2;FALSE;sor;;;It’s beautiful :o;
;scenery2_S_ass_0001;;talk_scenery2;ass;line;1001;scenery2;FALSE;ass;;;cool s-scenery, need to get b to f-firecamp;
;scenery2_S_bar_0001;;talk_scenery2;bar;line;1001;scenery2;FALSE;bar;;;So this is what Conquest sees from his mountain…;
;scenery2_S_war_0001;;talk_scenery2;war;line;1001;scenery2;FALSE;war;;;A heroic landscape. When all this is over, I'll paint a picture.;
;scenery2_S_dru_0001;;talk_scenery2;dru;line;1001;scenery2;FALSE;dru;;;Barren wasteland.;
;waterremind_S_kni_0001;;talk_water;kni;line;1001;;TRUE;kni;;;I should go back into the water already.;
;waterremind_S_kni_0002;;talk_water;kni;line;1002;;TRUE;kni;;;It’s time to submerge back in the water.;
;waterremind_S_kni_0003;;talk_water;kni;line;1003;;TRUE;kni;;;Time to enter the water.;
;waterremind_S_kni_0004;;talk_water;kni;line;1004;;TRUE;kni;;;Maybe I should enter the water.;
;trophy_pVampLord_S_kni_0101;;trophy_pVampLord;kni;line;1100;;TRUE;kni;;;Just a trophy.;
;trophy_pVampLord_S_kni_0102;;trophy_pVampLord;kni;line;1100;;TRUE;kni;;;It's just a trophy.;
;trophy_pBlacKnig_S_kni_0101;;trophy_pBlacKnig;kni;line;1100;;TRUE;kni;;;Just a trophy.;
;trophy_pBlacKnig_S_kni_0102;;trophy_pBlacKnig;kni;line;1100;;TRUE;kni;;;It's just a trophy.;
;trophy_pBlacKnig_S_kni_0103;;trophy_pBlacKnig;kni;line;1100;;FALSE;kni;;;Tis but a trophy.;
;trophy_pShie_S_kni_0101;;trophy_pShie;kni;line;1100;;TRUE;kni;;;Just a trophy.;
;trophy_pShie_S_kni_0102;;trophy_pShie;kni;line;1100;;TRUE;kni;;;It's just a trophy.;
;trophy_pSkel_S_kni_0101;;trophy_pSkel;kni;line;1100;;TRUE;kni;;;Just a trophy.;
;trophy_pSkel_S_kni_0102;;trophy_pSkel;kni;line;1100;;TRUE;kni;;;It's just a trophy.;
;trophy_pSumm_S_kni_0101;;trophy_pSumm;kni;line;1100;;TRUE;kni;;;Just a trophy.;
;trophy_pSumm_S_kni_0102;;trophy_pSumm;kni;line;1100;;TRUE;kni;;;It's just a trophy.;
;trophy_pOoze_S_kni_0101;;trophy_pOoze;kni;line;1100;;TRUE;kni;;;Just a trophy.;
;trophy_pOoze_S_kni_0102;;trophy_pOoze;kni;line;1100;;TRUE;kni;;;It's just a trophy.;
;trophy_pGhos_S_kni_0101;;trophy_pGhos;kni;line;1100;;TRUE;kni;;;Just a trophy.;
;trophy_pGhos_S_kni_0102;;trophy_pGhos;kni;line;1100;;TRUE;kni;;;It's just a trophy.;
;trophy_pVampLord_S_sor_0101;;trophy_pVampLord;sor;line;1100;;TRUE;sor;;;Just a trophy :p;
;trophy_pVampLord_S_sor_0102;;trophy_pVampLord;sor;line;1100;;TRUE;sor;;;Just a trophy.;
;trophy_pBlacKnig_S_sor_0101;;trophy_pBlacKnig;sor;line;1100;;TRUE;sor;;;Just a trophy :p;
;trophy_pBlacKnig_S_sor_0102;;trophy_pBlacKnig;sor;line;1100;;TRUE;sor;;;Just a trophy.;
;trophy_pShie_S_sor_0101;;trophy_pShie;sor;line;1100;;TRUE;sor;;;Just a trophy :p;
;trophy_pShie_S_sor_0102;;trophy_pShie;sor;line;1100;;TRUE;sor;;;Just a trophy.;
;trophy_pSkel_S_sor_0101;;trophy_pSkel;sor;line;1100;;TRUE;sor;;;Just a trophy :p;
;trophy_pSkel_S_sor_0102;;trophy_pSkel;sor;line;1100;;TRUE;sor;;;Just a trophy.;
;trophy_pSumm_S_sor_0101;;trophy_pSumm;sor;line;1100;;TRUE;sor;;;Just a trophy :p;
;trophy_pSumm_S_sor_0102;;trophy_pSumm;sor;line;1100;;TRUE;sor;;;Just a trophy.;
;trophy_pOoze_S_sor_0101;;trophy_pOoze;sor;line;1100;;TRUE;sor;;;Just a trophy :p;
;trophy_pOoze_S_sor_0102;;trophy_pOoze;sor;line;1100;;TRUE;sor;;;Just a trophy.;
;trophy_pGhos_S_sor_0101;;trophy_pGhos;sor;line;1100;;TRUE;sor;;;Just a trophy :p;
;trophy_pGhos_S_sor_0102;;trophy_pGhos;sor;line;1100;;TRUE;sor;;;Just a trophy.;
;trophy_pVampLord_S_ass_0101;;trophy_pVampLord;ass;line;1100;;TRUE;ass;;;just a trophy;
;trophy_pVampLord_S_ass_0102;;trophy_pVampLord;ass;line;1100;;TRUE;ass;;;.;
;trophy_pBlacKnig_S_ass_0101;;trophy_pBlacKnig;ass;line;1100;;TRUE;ass;;;just a trophy;
