n/a;code;condition;event;#eventalt;ini;type;prio;group;reuse;speaker;voice;#;English(en);Bulgarian(bg)
;emp_M_0001;;lvl_core_emp;;pc;vn;1;;FALSE;Fates;empA_M_0001_A;;Ну и ну, вот это любопытно! Твоя судьба настолько переплетена с самим Временем, что прочесть её, герой, совсем непросто.;
;~;;;;;;;;;Fates;empA_M_0001_B;;Провалишься? Преуспеешь? Или, может, это будет что-то другое?;
;~;;;;;;;;;Fates;empA_M_0001_C;;Ой, прости! Они для тебя ещё не подоспели. Но было бы жаль увидеть твой провал. Может, мы немножко.. подправим цифры?;
;emp_M_0002;;lvl_core_emp;;pc;vn;2;;FALSE;Fates;empA_M_0002_A;;Мы, кажется, не представились в прошлый раз. Мы — Мойры.;
;~;;;;;;;;;Fates;empA_M_0002_B;;Кло, соня, прядёт нити жизни. Лахи их измеряет и всякую такую скуку. А я, Айса, — цык-цык ножницами, когда придёт срок!;
;~;;;;;;;;;Aisa;empA_M_0002_C;;У меня самая весёлая работа! Правда, утомляет провожать их всех.. вечно, навсегда и навсегда... Но, может, именно ты положишь этому конец, кто знает?;
;emp_S_0001;;lvl_emp;;pc;vn;1000;;TRUE;Aisa;empA_S_0001;;Помочь тебе? Ну, вообще-то мы и не помогаем тебе. Это твоя собственная судьба. Шьёшь её ты, а мы просто.. присматриваем, если хочешь.;
;emp_S_0007;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0007;;Ну, может, в этот раз попробуешь подойти иначе? Но, впрочем, это твоя судьба…;
;emp_S_0008;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empA_S_0008;;Э-э, время у тебя ведь не заканчивается, так что может, стоит.. эм.. немного поэкспериментировать с этим вот замкнутым кругом судьбы?;
;emp_S_0009;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0009;;А ты правда думаешь, что можешь убить Смерть? У нас ведь нет нити на него.;
;emp_S_0013;;lvl_emp;;pc;vn;1003;;FALSE;Lachi;empL_S_0013_A;;Э-эй, если это опять будет нечто в духе Сизифа, может, мы могли бы.. эм, ну… п-провести часть этой вечности вместе...;
;~;;;;;;;;;Aisa;empA_S_0013_B;;Фу, не обращай внимания на сестру, она просто спросила.. эм, что-то совсем другое, не то, что тебе могло послышаться! Какая-то путаница со шкалой времени.;
;~;;;;;;;;;Aisa;empA_S_0013_C;;Вернёмся к этой шкале времени, ладно?;
;emp_S_0014;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0014;;Вечность как у Сизифа? Нет, его нить мы храним в бесконечном сундуке. Твоя просто вечно меняется, но.. ну, по крайней мере, пока она выглядит конечной, на мой взгляд.;
;emp_S_0016;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0016;;Выбираешь ты, я лишь измеряю.;
;emp_S_0017;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0017;;Д-дай-ка я прочту, ч-что сулит тебе твоя судьба..;
;emp_S_0019;;lvl_emp;;pc;vn;1002;;TRUE;Aisa;empA_S_0019_A;;Хватит при-Лахиваться к их судьбе, сестрёнка! И хватит раздавать советы, это их чёртова нить!;
;~;;;;;;;;;Lachi;empL_S_0019_B;;Кто бы говорил, ты сама ни на минуту не замолкаешь со своими подсказками!;
;emp_S_0020;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0020;;Эм, может, тебе стоит налево.;
;emp_S_0021;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0021;;О, п-привет! Эм, эм, тебе направо!;
;emp_S_0023;;lvl_emp;;pc;vn;1002;;FALSE;Aisa;empA_S_0023_A;;(Тьфу, Лахи, они тебе нравятся только потому, что ты не можешь прочесть их будущее!);
;~;;;;;;;;;Lachi;empL_S_0023_B;;И что?! Это.. Ой, а. Привет. Эм.;
;~;;;;;;;;;Aisa;empA_S_0023_C;;Выбирай, герой, не обращай внимания на мою сестру.;
;emp_S_0026;;lvl_emp;;pc;vn;1001;;TRUE;Clo;empC_S_0026;;(Только.. дайте мне поспать, ладно..); 
;emp_S_0028;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0028;;У меня от тебя голова кружится, это так.. пьяняще! Интересно, что ты выберешь следующим шагом!;
;emp_S_0029;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0029;;Знаешь, у тебя вагон времени. Задание может подождать.. в-целую вечность. Но.. эм... вид у тебя очень решительный.;
;emp_S_0044;;lvl_emp;;pc;vn;1001;;TRUE;Clo;empC_S_0044;;(Уже не конец?... Выбирай.. путь.. герой.. хватит.. терять время..);
;emp_S_0045;;lvl_emp;;pc;vn;1003;;TRUE;Clo;empC_S_0045;;(Ну.. помиритесь... уже наконец..);
;emp_S_0046;;lvl_emp;;pc;vn;1002;;TRUE;Clo;empC_S_0046;;(…);
;emp_S_0047;;lvl_emp;;pc;vn;1002;;TRUE;Clo;empC_S_0047;;(Это.. ещё продолжается?..);
;emp_S_0049;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0049;;Куда путь?;
;emp_S_0050;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0050;;Налево или направо?;
;emp_S_0051;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0051;;Выбирай.;
;emp_S_0052;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0052;;Цык, цык, цык!;
;emp_S_0053;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0053;;Только ты куёшь свою судьбу.;
;emp_S_0054;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0054;;Куда теперь?;
;emp_S_0055;;lvl_emp;;pc;vn;1001;;TRUE;Aisa;empA_S_0055;;Не теряй веры!; 
;emp_S_0056;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0056;;Эмм.. что ты выберешь?;
;emp_S_0057;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0057;;Ты для меня.. сплошная загадка.; 
;emp_S_0058;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0058_ALT;;Ох, как же это у-увлекательно!; 
;emp_S_0059;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0059;;Что будешь делать теперь?; 
;emp_S_0060;;lvl_emp;;pc;vn;1001;;TRUE;Lachi;empL_S_0060;;Э-эй, эй!; 
;emp_S_0061;;lvl_emp;;pc;vn;1001;;TRUE;Clo;empC_S_0061;;(Дайте поспать..);
