n/a;code;condition;event;ini;type;prio;group;reuse;speaker;voice;#;English(en)                        | (2nd row after this ingame);Bulgarian(bg)
;pcsho_M_0001;;talk_sho;pc;conv;1;pcsho_conv;FALSE;sho;;;Что, все боги там внизу тебе помогают, а?;
;~;;;;;;;;sho;;;А я, знаешь, сам чем-то божество :);
;~;;;;;;;;sho;;;Принеси мне краденые вещички Смерти, и я тоже подключусь. Ну или меч одолжу.;
;pcsho_S_0001;pctra_M_0001;talk_sho;pc;conv;1;pcsho_conv;FALSE;sho;;;Комплектующие для твоего синего друга, знаешь ли, стоят недёшево.;
;~;;;;;;;;sho;;;Но ведь важно путешествие, а не цель, верно?;
;pctra_M_0001;;talk_tra;pc;conv;1;pctra_conv;FALSE;tra;;;Как же я рад, что вовремя дообрался до цели.;
;~;;;;;;;;tra;;;Какой же я везучий, что могу примкнуть к твоему пути-и.;
;~;;;;;;;;tra;;;Прости мою навязчивость, но я пришёл предложить свою помощь.;
;~;;;;;;;;tra;;;Эти артефакты, что я при себе везу, пригодятся тебе в странствии в Круг Смерти.;
;~;;;;;;;;tra;;;Раскрыть их полную силу будет непросто — понадобятся дорогие комплектующие.;
;~;;;;;;;;tra;;;Но я уверен, здешний лавочник добудет их для нас по весьма разумной цене.;
;knisor_M_0001;;talk_kni,talk_sor;kni,sor;conv;1;knisor_conv;FALSE;sor;;;Не ожидала встретить живого стража у врат Смерти :p;
;~;;;;;;;;kni;;;Я не страж. Просто вышел подышать свежим воздухом. Мне сказали ждать… других.;
;~;;;;;;;;kni;;;Полагаю, ты первая, кто пришёл.;
;~;;;;;;;;sor;;;Первая? О чём ты?;
;~;;;;;;;;kni;;;Мне потребуется время, чтобы всё объяснить…;
;~;;;;;;;;@fade;;;;
;~;;;;;;;;sor;;;То есть… ты хочешь, чтобы я спустилась туда с Песочными часами?;
;~;;;;;;;;kni;;;Владеть ими может лишь один. Удачи.;
;knisor_M_0002;;talk_kni,talk_sor;kni,sor;conv;2;knisor_conv;FALSE;sor;;;Часы сработали! Я… вернулась.;
;~;;;;;;;;sor;;;Но я всё ещё не понимаю, <b>почему</b> Время отдало нам свои Часы.;
;~;;;;;;;;kni;;;Они видят правоту нашего дела.;
;~;;;;;;;;sor;;;Д-да... правота…;
;~;;;;;;;;kni;;;Богам не свойственно жертвовать, это верно.;
;~;;;;;;;;kni;;;И столько всего вдобавок.;
;~;;;;;;;;kni;;;Но Время явно занято делами поважнее себя.;
;knisor_M_0003;!kill_Death;talk_kni,talk_sor;kni,sor;conv;3;knisor_conv;FALSE;sor;;;Слушай, эм… кажется, я так и не представилась. Я Меррис ^^;
;~;;;;;;;;kni;;;Аворон. Взаимно.;
;~;;;;;;;;kni;;;Приятно, что здесь есть кто-то ещё.;
;~;;;;;;;;sor;;;Да ладно?? Ты выглядишь как типичный одиночка!;
;~;;;;;;;;sor;;;То есть, я хотела сказать — самостоятельный!! <.<;
;knisor_M_0004;!kill_Death;talk_kni,talk_sor;kni,sor;conv;4;knisor_conv;FALSE;sor;;;Слушай, эм... я заварила тебе зелёный чай.;
;~;;;;;;;;kni;;;Спасибо. Тут бывает холодно.;
;~;;;;;;;;sor;;;Не для огненной девчонки ^^;
;knisor_M_0005;!kill_Death and seen_VampireLord;talk_kni,talk_sor;kni,sor;conv;5;knisor_conv;FALSE;sor;;;Я... так и не спросила. Почему ты идёшь туда, вниз?;
;~;;;;;;;;kni;;;Долг.;
;~;;;;;;;;sor;;;Кому?? Жене :? Какому-нибудь кузену? Псу-любимцу!;
;~;;;;;;;;kni;;;Себе.;
;~;;;;;;;;sor;;;!;
;~;;;;;;;;sor;;;Как эгоистично для рыцаря в сияющих доспехах :p;
;~;;;;;;;;kni;;;Мы не все так благородны, как ты, Меррис.;
;~;;;;;;;;sor;;;Это была шутка >.< ?! Новенькое! ^^;
;knisor_M_0006;seen_VampireLord;talk_kni,talk_sor;kni,sor;conv;6;knisor_conv;FALSE;kni;;;Теперь моя очередь спрашивать. Какая у тебя причина?;
;~;;;;;;;;sor;;;Просто ищу одного знакомого дурака.;
