n/a;code;condition;event;ini;type;prio;group;reuse;speaker;voice;#;English(en)                        | (2nd row after this ingame);Bulgarian(bg)
;sho_S_0001;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Товары в наличии!;
;sho_S_0002;;talk_sho_side;pc;line;1001;sho_conv;TRUE;sho;;;Не задалось?;
;sho_S_0003;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Что-нибудь нужно?;
;sho_S_0004;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;После шопинга станет полегче.;
;sho_S_0005;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Покупай! Продавай! Покупай! Продавай!;
;sho_S_0006;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Нужны вещички?;
;sho_S_0007;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Какая классная добыча попалась?;
;sho_S_0008;;talk_sho_side;pc;line;1000;sho_conv;TRUE;sho;;;Есть что продать?;
;ropes_S_kni_0001;;talk_ropes;kni;line;1001;ropes;FALSE;kni;;;Подъём был долгим. Хорошо, что прихватил достаточно верёвки.;
;ropes_S_sor_0001;;talk_ropes;sor;line;1001;ropes;FALSE;sor;;;Надеюсь, спускаться будет полегче >.>;
;ropes_S_ass_0001;;talk_ropes;ass;line;1001;ropes;FALSE;ass;;;нет-нет-нет, больше не смотрю вниз;
;ropes_S_bar_0001;;talk_ropes;bar;line;1001;ropes;FALSE;bar;;;А, подъём сюда — отличная физическая зарядка!;
;ropes_S_war_0001;;talk_ropes;war;line;1001;ropes;FALSE;war;;;Однажды я вернусь этой дорогой. Когда завершу своё путешествие.;
;ropes_S_dru_0001;;talk_ropes;dru;line;1001;ropes;FALSE;dru;;;Однажды я спущусь вниз.;
;gates_S_kni_0001;;gates;kni;conv;1001;gates;FALSE;kni;;;Обратно туда, откуда я пришёл.;
;~;;;;;;;;kni;;;Добраться сюда было непросто.;
;gates_S_kni_0002;;gates;kni;line;1002;gates;FALSE;kni;;;Снова на свежий воздух.;
;gates_S_sor_0001;;gates;sor;line;1001;gates;FALSE;sor;;;Вход, через который я вошла.;
;gates_S_sor_0002;;gates;sor;conv;1002;gates;FALSE;sor;;;Ах, наконец-то свежий воздух ^^!;
;~;;;;;;;;sor;;;…правда, слишком холодно, пора обратно внутрь >.<;
;gates_S_ass_0001;;gates;ass;conv;1001;gates;FALSE;ass;;;вход, через который я пришла.;
;~;;;;;;;;ass;;;воообще не хочу тут снова быть, с-слишком х-холодно;
;gates_S_ass_0002;;gates;ass;line;1002;gates;FALSE;ass;;;тут наверху жуткий холод;
;gates_S_bar_0001;;gates;bar;conv;1001;gates;FALSE;bar;;;Вход во Владение Смерти!;
;~;;;;;;;;bar;;;Восхождение вышло героическим! Но… одиноким.;
;~;;;;;;;;bar;;;С друзьями спуск будет веселее.;
;~;;;;;;;;bar;;;Лучше вернуться и закончить начатое.;
;gates_S_bar_0002;;gates;bar;line;1002;gates;FALSE;bar;;;Снова свежий воздух!;
;gates_S_war_0001;;gates;war;conv;1001;gates;FALSE;war;;;Обратно туда, откуда я пришла.;
;~;;;;;;;;war;;;И где я встретила Кронта.;
;gates_S_war_0002;;gates;war;conv;1002;gates;FALSE;war;;;Ах, снова снег. Как будто вернулась домой.;
;~;;;;;;;;war;;;Если бы.;
;scenery1_S_kni_0001;;talk_scenery1;kni;line;1001;scenery1;FALSE;kni;;;Виды здесь наверху… жутко красивые.;
;scenery1_S_sor_0001;;talk_scenery1;sor;line;1001;scenery1;FALSE;sor;;;Подъём был бы легче, если бы все мосты ещё стояли…;
;scenery1_S_ass_0001;;talk_scenery1;ass;line;1001;scenery1;FALSE;ass;;;к-классные в-виды, с-слишком классные, надо к к-костру;
;scenery1_S_bar_0001;;talk_scenery1;bar;line;1001;scenery1;FALSE;bar;;;Каким маленьким выглядит этот мир сверху!;
;scenery1_S_war_0001;;talk_scenery1;war;line;1001;scenery1;FALSE;war;;;Горы — отрадный вид.;
;scenery2_S_kni_0001;;talk_scenery2;kni;line;1001;scenery2;FALSE;kni;;;Ирония… вход в Подземный мир на самой высокой вершине.;
;scenery2_S_sor_0001;;talk_scenery2;sor;line;1001;scenery2;FALSE;sor;;;Это красиво :o;
;scenery2_S_ass_0001;;talk_scenery2;ass;line;1001;scenery2;FALSE;ass;;;к-классные в-виды, надо к к-костру;
;scenery2_S_bar_0001;;talk_scenery2;bar;line;1001;scenery2;FALSE;bar;;;Так вот что Кром видит со своей горы…;
;scenery2_S_war_0001;;talk_scenery2;war;line;1001;scenery2;FALSE;war;;;Героический пейзаж. Когда всё это закончится, я нарисую картину.;
;scenery2_S_dru_0001;;talk_scenery2;dru;line;1001;scenery2;FALSE;dru;;;Бесплодная пустошь.;
;waterremind_S_kni_0001;;talk_water;kni;line;1001;;TRUE;kni;;;Пора уже вернуться в воду.;
;waterremind_S_kni_0002;;talk_water;kni;line;1002;;TRUE;kni;;;Время снова окунуться в воду.;
;waterremind_S_kni_0003;;talk_water;kni;line;1003;;TRUE;kni;;;Время войти в воду.;
;waterremind_S_kni_0004;;talk_water;kni;line;1004;;TRUE;kni;;;Может, мне стоит войти в воду.;
;trophy_pVampLord_S_kni_0101;;trophy_pVampLord;kni;line;1100;;TRUE;kni;;;Просто трофей.;
;trophy_pVampLord_S_kni_0102;;trophy_pVampLord;kni;line;1100;;TRUE;kni;;;Это просто трофей.;
;trophy_pBlacKnig_S_kni_0101;;trophy_pBlacKnig;kni;line;1100;;TRUE;kni;;;Просто трофей.;
;trophy_pBlacKnig_S_kni_0102;;trophy_pBlacKnig;kni;line;1100;;TRUE;kni;;;Это просто трофей.;
;trophy_pBlacKnig_S_kni_0103;;trophy_pBlacKnig;kni;line;1100;;FALSE;kni;;;Всего лишь трофей.;
;trophy_pShie_S_kni_0101;;trophy_pShie;kni;line;1100;;TRUE;kni;;;Просто трофей.;
;trophy_pShie_S_kni_0102;;trophy_pShie;kni;line;1100;;TRUE;kni;;;Это просто трофей.;
;trophy_pSkel_S_kni_0101;;trophy_pSkel;kni;line;1100;;TRUE;kni;;;Просто трофей.;
;trophy_pSkel_S_kni_0102;;trophy_pSkel;kni;line;1100;;TRUE;kni;;;Это просто трофей.;
;trophy_pSumm_S_kni_0101;;trophy_pSumm;kni;line;1100;;TRUE;kni;;;Просто трофей.;
;trophy_pSumm_S_kni_0102;;trophy_pSumm;kni;line;1100;;TRUE;kni;;;Это просто трофей.;
;trophy_pOoze_S_kni_0101;;trophy_pOoze;kni;line;1100;;TRUE;kni;;;Просто трофей.;
